P-V-T Data for 13% Fe-bearing Bridgmanite
ID P[GPa] err_tot T[K] err V_Pv[Ang^3] err V_Ne[Ang^3] err
2 113.71 2.28 1835 100 126.27 0.42 26.068 0.066
2 112.72 1.26 1695 100 126.34 0.16 26.061 0.066
2 113.24 1.78 1738 100 126.52 0.31 26.049 0.065
2 112.47 1.70 1655 100 126.56 0.29 26.057 0.065
2 112.70 2.17 1610 100 126.45 0.40 26.018 0.065
2 112.83 1.75 1640 100 126.53 0.30 26.025 0.065
2 113.35 1.69 1715 100 126.56 0.29 26.029 0.065
2 113.67 1.74 1758 100 126.56 0.30 26.030 0.065
2 112.90 1.49 1600 100 126.26 0.23 25.999 0.065
2 113.51 1.81 1685 100 126.47 0.32 26.003 0.065
2 114.61 1.49 1832 100 126.45 0.23 26.006 0.065
2 114.66 1.44 1852 100 126.54 0.22 26.014 0.065
2 114.91 1.86 1878 100 126.54 0.33 26.011 0.065
2 114.66 2.30 1825 100 126.34 0.43 26.000 0.065
2 118.63 1.69 2275 100 126.58 0.28 25.970 0.065
2 117.69 1.77 2095 100 126.61 0.31 25.939 0.065
2 123.71 2.03 2141 100 124.77 0.34 25.578 0.064
2 120.30 1.39 1990 100 125.39 0.19 25.717 0.065
2 119.76 1.44 1920 100 125.40 0.20 25.716 0.065
2 119.65 1.38 1890 100 125.40 0.19 25.708 0.065
2 120.48 1.40 2020 100 125.42 0.19 25.720 0.065
2 121.20 1.41 2175 100 125.41 0.20 25.752 0.065
2 121.55 1.39 2228 100 125.42 0.19 25.756 0.065
2 121.48 1.39 2240 100 125.40 0.19 25.767 0.065
2 126.59 2.37 2045 100 124.05 0.40 25.356 0.064
2 126.34 2.58 2025 100 124.42 0.45 25.361 0.064
2 125.71 2.58 1970 100 123.98 0.45 25.373 0.064
2 121.37 1.98 1740 100 124.96 0.33 25.526 0.064
2 122.26 2.14 1895 100 124.55 0.36 25.547 0.064
2 122.61 2.33 1975 100 124.33 0.40 25.564 0.064
2 123.11 1.65 2060 100 124.94 0.25 25.575 0.064
2 123.63 1.77 2145 100 125.14 0.28 25.584 0.064
2 123.63 2.43 2155 100 125.23 0.44 25.589 0.064
2 123.96 1.75 2225 100 125.22 0.28 25.603 0.064
2 124.14 2.86 2262 100 124.54 0.52 25.610 0.064
2 123.80 2.19 2240 100 124.55 0.37 25.621 0.064
2 126.03 2.30 2340 100 124.82 0.40 25.532 0.064
2 122.33 2.62 1944 140 124.52 0.47 25.567 0.064
2 121.06 2.29 1815 100 124.63 0.40 25.582 0.064
2 120.89 4.20 1840 100 124.19 0.78 25.605 0.064
2 128.72 1.78 1865 100 122.98 0.26 25.147 0.063
2 129.18 2.21 1895 100 124.32 0.37 25.135 0.063
2 130.08 3.36 1995 100 124.89 0.62 25.129 0.063
2 130.73 2.54 1980 100 124.90 0.45 25.084 0.063
2 127.35 1.46 2180 100 124.60 0.19 25.375 0.064
2 127.72 1.69 2268 100 124.68 0.26 25.394 0.064
2 128.35 1.79 2368 100 124.69 0.28 25.404 0.064
2 128.62 1.71 2415 100 124.70 0.26 25.410 0.064
2 128.67 1.79 2455 100 124.56 0.28 25.426 0.064
2 132.27 2.58 1995 100 124.81 0.45 25.004 0.063
2 132.70 3.76 2062 100 124.59 0.70 25.010 0.063
